CargingEent,UserID,CPID,Connector,Startyear,StartMonth,StartDay,StartHour,StartQuarter,EndYear,EndMonth,EndDay,EndHour,EndQuarter,TotalKW,Cost,Site,Group,Model
7747695,606177,51422,2,2018,9,6,6,52,2018,9,6,6,59,4,0,6,1,5
7747559,607265,51423,2,2018,9,6,4,40,2018,9,6,5,10,12,0,6,2,5
7747555,605454,51422,2,2018,9,6,4,33,2018,9,6,5,34,21,0,6,1,5
7747522,605454,51550,2,2018,9,6,3,30,2018,9,6,3,44,8,0,1,1,5
7747485,607265,51424,2,2018,9,6,2,21,2018,9,6,2,41,12,0,6,2,5
7747473,606666,51424,2,2018,9,6,1,55,2018,9,6,2,11,12,0,6,2,5
7747470,606177,51422,2,2018,9,6,1,53,2018,9,6,2,54,21,0,6,1,5
7747469,1886,50910,1,2018,9,6,1,51,2018,9,7,8,54,28,0,13,1,1
7747466,1886,50910,1,2018,9,6,1,48,2018,9,6,1,51,0,0,13,1,1
7747450,607097,51548,2,2018,9,6,1,27,2018,9,6,1,57,13,0,1,1,5
7747445,519478,51422,2,2018,9,6,1,20,2018,9,6,1,42,8,0,6,1,5
7747423,605932,50692,2,2018,9,6,0,58,2018,9,6,1,23,13,0,10,1,3
7747408,607529,51425,2,2018,9,6,0,2,2018,9,6,0,14,7,0,6,2,5
7747415,518009,51423,2,2018,9,5,23,50,2018,9,6,0,2,7,0,6,2,5
7747413,607294,51087,1,2018,9,5,23,39,2018,9,6,7,7,10,0,3,1,4
7747411,606666,51421,2,2018,9,5,23,34,2018,9,5,23,48,11,0,6,2,5
7747414,603522,50911,2,2018,9,5,23,33,2018,9,6,0,8,15,0,3,1,3
7747419,604734,50268,1,2018,9,5,23,31,2018,9,6,15,12,10,0,4,1,4
7747365,602896,51548,2,2018,9,5,23,10,2018,9,5,23,39,15,0,1,1,5
7747363,608512,51422,2,2018,9,5,23,5,2018,9,5,23,32,19,0,6,1,5
7747330,605355,51426,2,2018,9,5,22,25,2018,9,5,22,48,16,0,6,2,5
7747329,607097,51548,2,2018,9,5,22,25,2018,9,5,22,59,20,0,1,1,5
7747326,608231,50692,2,2018,9,5,22,24,2018,9,5,22,50,17,0,10,1,3
7747322,607856,50909,1,2018,9,5,22,20,2018,9,6,8,6,15,0,21,1,1
7747308,607173,51547,2,2018,9,5,22,6,2018,9,5,22,42,14,0,1,1,5
7747297,605931,50349,2,2018,9,5,21,55,2018,9,5,22,22,19,0,2,1,2
7747296,519478,51426,2,2018,9,5,21,55,2018,9,5,22,17,9,0,6,2,5
7747287,606260,51422,2,2018,9,5,21,50,2018,9,5,22,21,18,0,6,1,5
7747281,605235,51425,2,2018,9,5,21,45,2018,9,5,22,1,5,0,6,2,5
7747271,517866,50911,2,2018,9,5,21,40,2018,9,5,22,14,11,0,3,1,3
7747268,604832,50267,1,2018,9,5,21,39,2018,9,6,7,25,5,0,9,1,4
7747244,605337,51421,2,2018,9,5,21,18,2018,9,5,21,57,24,0,6,2,5
7747237,518009,51423,2,2018,9,5,21,15,2018,9,5,21,53,14,0,6,2,5
7747236,604931,51548,2,2018,9,5,21,15,2018,9,5,21,57,7,0,1,1,5
7747225,604773,50841,2,2018,9,5,21,7,2018,9,6,6,55,6,0,7,1,4
7747202,603522,50911,2,2018,9,5,20,50,2018,9,5,20,53,2,0,3,1,3
7747197,603906,50841,1,2018,9,5,20,47,2018,9,6,7,42,6,0,7,1,4
7747191,607734,51550,2,2018,9,5,20,43,2018,9,5,21,7,4,0,1,1,5
7747180,607706,51548,2,2018,9,5,20,35,2018,9,5,20,55,14,0,1,1,5
7747168,607735,51547,2,2018,9,5,20,28,2018,9,5,21,7,15,0,1,1,5
7747157,607734,51548,2,2018,9,5,20,20,2018,9,5,20,28,4,0,1,1,5
7747149,603680,51549,2,2018,9,5,20,17,2018,9,5,20,50,22,0,1,1,5
7747144,519392,50911,2,2018,9,5,20,15,2018,9,5,20,24,5,0,3,1,3
7747112,601838,50912,1,2018,9,5,19,55,2018,9,6,18,50,9,0,1,1,1
7747051,603679,51426,2,2018,9,5,19,33,2018,9,5,19,50,12,0,6,2,5
7747049,607734,51549,2,2018,9,5,19,32,2018,9,5,19,35,1,0,1,1,5
7747015,607529,51548,2,2018,9,5,19,19,2018,9,5,20,17,21,0,1,1,5
7747007,519324,50676,2,2018,9,5,19,19,2018,9,5,20,41,3,0,20,1,4
7746996,607224,51426,2,2018,9,5,19,15,2018,9,5,19,32,12,0,6,2,5
7746959,518009,51548,2,2018,9,5,19,5,2018,9,5,19,15,6,0,1,1,5
7746946,607173,51423,2,2018,9,5,19,0,2018,9,5,19,10,5,0,6,2,5
7746924,520813,51429,2,2018,9,5,18,58,2018,9,6,20,3,4,0,6,2,1
7746902,604731,51088,2,2018,9,5,18,50,2018,9,6,11,2,25,0,16,1,4
7746901,603701,51421,2,2018,9,5,18,49,2018,9,5,19,36,11,0,6,2,5
7746896,606909,51547,2,2018,9,5,18,47,2018,9,5,19,19,15,0,1,1,5
7746892,604175,51424,2,2018,9,5,18,46,2018,9,5,19,8,11,0,6,2,5
7746867,605934,50271,1,2018,9,5,18,40,2018,9,6,4,2,19,0,18,1,4
7746846,606568,51087,2,2018,9,5,18,33,2018,9,5,19,38,10,0,3,1,4
7746837,606789,51426,2,2018,9,5,18,30,2018,9,5,19,10,26,0,6,2,5
7746795,607753,51548,2,2018,9,5,18,17,2018,9,5,18,26,7,0,1,1,5
7746772,608231,50911,2,2018,9,5,18,12,2018,9,5,19,12,18,0,3,1,3
7746761,607486,51547,2,2018,9,5,18,9,2018,9,5,18,19,3,0,1,1,5
7746749,601897,50909,1,2018,9,5,18,6,2018,9,5,19,47,11,0,21,1,1
7746721,608239,50264,1,2018,9,5,17,59,2018,9,6,8,35,30,0,14,4,4
7746716,605079,51549,2,2018,9,5,17,57,2018,9,5,18,16,3,0,1,1,5
7746714,603589,51421,2,2018,9,5,17,56,2018,9,5,18,30,14,0,6,2,5
7746704,603475,51548,2,2018,9,5,17,55,2018,9,5,18,11,11,0,1,1,5
7746676,605235,50692,2,2018,9,5,17,48,2018,9,5,18,7,7,0,10,1,3
7746657,608450,50911,1,2018,9,5,17,39,2018,9,5,18,57,2,0,3,1,3
7746629,601495,50692,2,2018,9,5,17,32,2018,9,5,17,43,7,0,10,1,3
7746621,606177,51548,2,2018,9,5,17,30,2018,9,5,17,52,14,0,1,1,5
7746615,606354,51426,2,2018,9,5,17,28,2018,9,5,17,43,9,0,6,2,5
7746591,607058,50349,2,2018,9,5,17,21,2018,9,5,17,33,7,0,2,1,2
7746569,606851,50692,2,2018,9,5,17,15,2018,9,5,17,31,4,0,10,1,3
7746557,518065,50913,1,2018,9,5,17,11,2018,9,5,19,2,34,0,1,1,1
7746556,608230,51549,2,2018,9,5,17,11,2018,9,5,17,31,13,0,1,1,5
7746540,603240,51548,3,2018,9,5,17,7,2018,9,5,17,26,7,0,1,1,5
7746506,607294,51087,1,2018,9,5,16,57,2018,9,5,17,35,2,0,3,1,4
7746503,608467,51550,2,2018,9,5,16,55,2018,9,5,17,39,12,0,1,1,5
7746482,607486,51547,2,2018,9,5,16,48,2018,9,5,17,10,10,0,1,1,5
7746465,606842,50843,2,2018,9,5,16,46,2018,9,6,5,37,14,0,12,1,4
7746445,605355,51426,2,2018,9,5,16,39,2018,9,5,17,0,15,0,6,2,5
7746414,604771,50240,2,2018,9,5,16,30,2018,9,6,10,39,15,0,16,1,4
7746409,604735,50268,2,2018,9,5,16,28,2018,9,6,15,9,10,0,4,1,4
7746395,607097,51547,2,2018,9,5,16,24,2018,9,5,16,30,2,0,1,1,5
7746372,601838,50914,1,2018,9,5,16,19,2018,9,5,19,55,12,0,1,1,1
7746368,605084,51086,1,2018,9,5,16,18,2018,9,6,7,1,19,0,5,1,1
7746348,603907,50523,2,2018,9,5,16,10,2018,9,6,10,0,14,0,19,1,4
7746336,608039,51549,2,2018,9,5,16,6,2018,9,5,16,40,18,0,1,1,5
7746323,604902,50261,1,2018,9,5,16,3,2018,9,6,10,56,0,0,11,5,4
7746313,520813,51429,2,2018,9,5,16,0,2018,9,5,16,43,4,0,6,2,1
7746290,607496,51548,2,2018,9,5,15,54,2018,9,5,16,54,35,0,1,1,5
